"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type","Cluster1","Cluster2","HardCluster"
1,12,1,8,2,4.5,3,3,5,3.5,2,2,4,2,3,4,4,4,3,2,2,3,"Progressive Design-Build",0.619914882094373,0.380085117905627,1
2,12,1,10,2,3.5,3,4,3.5,3.5,2.5,3,4,3,4,4,4,4,3,3,2,3,"Progressive Design-Build",0.701605324315684,0.298394675684315,1
3,8,1,5,3,4.5,4,5,4,3,2.5,3,5,4,3,4,3,3,2,3,3,3,"Progressive Design-Build",0.649200078461496,0.350799921538504,1
4,5,2,5,3,5,5,3,5,4,1,3,5,4,4,5,5,5,4,4,2,4,"Construction Manager @ Risk",0.921109729094884,0.0788902709051165,1
5,2,4,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Construction Manager @ Risk",0.1326919634869,0.8673080365131,2
6,7,3,2,3,4,4,4,4,4,2,2,4,2,4,4,4,4,4,4,2,4,"Construction Manager @ Risk",0.884312825302829,0.115687174697171,1
7,4,5,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Design-Build",0.126524185154693,0.873475814845307,2
9,50,2,8,3,2.5,2.5,3,3.5,3,2.5,4,3,4,2,3,2,3,2,4,3,4,"Construction Manager @ Risk",0.182106997436932,0.817893002563068,2
11,30,3,15,3,4,4.5,4,4,4.5,1,4,3,4,4,4,5,5,2,4,1,5,"Integrated Project Delivery (IPD)",0.756070597801332,0.243929402198669,1
12,25,2,15,1,4.5,5,4,4,4.5,2,3,4,2,4,4,4,4,4,5,2,4,"Integrated Project Delivery (IPD)",0.78693904576972,0.21306095423028,1
13,8,2,5,4,4.5,3,4,5,3.5,1,2,4,5,4,5,5,4,3,5,4,4,"Integrated Project Delivery (IPD)",0.858789983018421,0.141210016981579,1
14,5,1,10,3,3,3.5,4,4.5,4.5,1.5,2,5,2,4,5,5,5,4,4,2,3,"Integrated Project Delivery (IPD)",0.852407629553881,0.147592370446119,1
15,20,2,5,4,4,4,3,4,4,2,2,4,5,4,4,4,4,4,4,2,4,"Design-Build",0.902220673593044,0.0977793264069558,1
16,7,1,4,3,3.5,4,4,3,3.5,1.5,3,3,4,4,4,4,3,3,4,2,5,"Integrated Project Delivery (IPD)",0.783437447711265,0.216562552288735,1
18,5,1,6,3,3.5,4,3,3.5,4.5,3.5,3,2,3,4,5,2,3,1,2,4,3,"Construction Manager @ Risk",0.327824158610362,0.672175841389638,2
19,14,4,4,2,2.5,5,4,4.5,5,1,1,5,2,4,4,4,2,3,4,2,2,"Integrated Project Delivery (IPD)",0.693129920299665,0.306870079700335,1
20,4,1,2,2,2.5,3,3,4,4,2,3,4,4,4,4,4,4,5,5,2,5,"Construction Manager @ Risk",0.823188415279993,0.176811584720007,1
21,6,1,6,3,3,3,4,3.5,3.5,3,5,4,3,2,4,3,4,3,3,2,4,"Construction Manager @ Risk",0.346177107720654,0.653822892279346,2
22,10,2,6,3,4,3.5,5,4,4,3,3,4,3,4,5,4,5,3,3,3,4,"Design-Bid-Build",0.898784648913796,0.101215351086204,1
23,3,3,4,3,3,2.5,1,3.5,4,3,4,4,3,3,4,4,3,2,4,3,4,"Design-Build",0.319893557268368,0.680106442731632,2
26,30,1,6,4,2.5,5,2,4.5,5,1,1,2,2,5,5,5,5,2,5,1,5,"Progressive Design-Build",0.675801019796945,0.324198980203055,1
27,5,2,1,1,1,2,2,1.5,2,3,2,2,3,1,1,5,5,3,4,2,4,"Design-Bid-Build",0.285592160021362,0.714407839978638,2
28,10,115,10,3,4,4,4,4,5,3,4,5,4,3,4,5,4,2,4,3,4,"Construction Manager @ Risk",0.558929046401346,0.441070953598654,1
29,15,1,4,2,1.5,3,2,3.5,2.5,1,5,4,2,3,4,5,4,3,4,1,4,"Integrated Project Delivery (IPD)",0.433612960137316,0.566387039862684,2
30,41,1,4,2,3.5,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,"Design-Build",0.842342847813277,0.157657152186723,1
31,50,4,10,3,4,4,4,4,4,3.5,4,4,4,4,4,4,3,2,3,3,2,"Design-Build",0.541206714133142,0.458793285866858,1
33,15,2,8,4,2,2.5,2,3,2.5,1,3,2,4,2,3,2,2,2,2,5,1,"Design-Build",0.152409425546578,0.847590574453422,2
34,10,3,3,2,5,4.5,4,5,4,1,4,5,3,4,5,5,4,5,4,3,3,"Progressive Design-Build",0.899058352165414,0.100941647834586,1
35,10,1,3,2,4,4,4,4,4,2,4,4,4,5,5,5,5,4,4,2,3,"Construction Manager @ Risk",0.942153273099244,0.0578467269007558,1
36,3,1,1,2,4,4,5,4.5,2,1,1,4,2,4,3,1,1,4,3,3,4,"Design-Bid-Build",0.47164278820808,0.52835721179192,2
37,3,2,4,3,4,4,2,5,3.5,3.5,3,5,5,4,5,5,5,2,5,3,5,"Design-Build",0.822692560697973,0.177307439302026,1
38,10,1,7,9,3,2,3,3,3.5,1,4,4,2,3,3,4,3,2,3,2,3,"Design-Bid-Build",0.303485154231538,0.696514845768462,2
39,10,1,5,3,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,2,4,"Construction Manager @ Risk",0.988864631204493,0.011135368795507,1
40,30,1,12,3,4,3,5,4.5,3.5,2.5,4,5,5,3,5,5,5,3,5,2,2,"Construction Manager @ Risk",0.767742677966304,0.232257322033696,1
41,15,3,5,3,3,3,3,3,3.5,1,3,4,4,4,5,4,4,4,3,3,4,"Design-Bid-Build",0.744202412292718,0.255797587707282,1
