"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PC1","PC2","PC3","UMAP1","UMAP2"
1,12,1,8,2,4.5,3,3,5,3.5,2,2,4,2,3,4,4,4,3,2,2,3,0.156135066915593,-0.945447837591592,-1.1715878617733,-0.417222905353381,-0.253463015302684
2,12,1,10,2,3.5,3,4,3.5,3.5,2.5,3,4,3,4,4,4,4,3,3,2,3,0.0581504000122094,-0.20918292993781,-0.132846201895369,-0.086480083945491,-0.658750551858592
3,8,1,5,3,4.5,4,5,4,3,2.5,3,5,4,3,4,3,3,2,3,3,3,-0.125699089302568,1.06426500405139,-0.959807636976228,0.425547749224474,-0.00367523631280514
4,5,3.59047619047619,6.90476190476191,3.15238095238095,5,5,3,5,4,1,3,5,4,4,5,5,5,4,4,2,4,-3.37905041784297,-0.617683513936557,-0.573766034794639,-1.06973230836468,2.71682438449492
5,2,4,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.41200311704805,0.419269115387547,-0.275606665234477,0.296794155610412,-3.10922874849287
6,7,3,2,3,4,4,4,4,4,2,2,4,2,4,4,4,4,4,4,2,4,-1.16572962752165,-1.02113476021346,-1.28668096163959,1.00546502215548,2.52831893875621
7,4,5,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.41200311704805,0.419269115387547,-0.275606665234477,0.0599060278367737,-2.97109772593967
8,200,1,30,2,2.5,4,5,4,4.5,1,4,5,5,4,4,5,5,3,5,1,4,-2.69220510813206,-0.903957198083933,1.63065832027889,-0.218367293244936,2.60974517722856
9,50,2,8,3,2.5,2.5,3,3.5,3,2.5,4,3,4,2,3,2,3,2,4,3,4,2.64683704251045,0.245583774856219,1.14857788112922,0.450755176356748,-2.88968328538172
10,250,1,35,5,4.5,5,5,5,5,1,5,5,5,5,5,4,5,4,4,1,4,-4.46794395393131,0.493410625167198,0.626273063775674,-1.27484969381678,2.50121676608314
11,30,3,15,3,4,4.5,4,4,4.5,1,4,3,4,4,4,5,5,2,4,1,5,-1.91240735560517,-1.09640340941316,1.07054966190664,0.370625227978254,2.14934110865691
12,25,2,15,1,4.5,5,4,4,4.5,2,3,4,2,4,4,4,4,4,5,2,4,-1.99471455526648,-0.357399922859246,-1.43180895937819,-0.424418828957208,2.35264378664928
13,8,2,5,4,4.5,3,4,5,3.5,1,2,4,5,4,5,5,4,3,5,4,4,-2.34179861294531,-0.624732715424921,-0.673434528566814,-0.0836025960917445,1.48396631954622
14,5,1,10,3,3,3.5,4,4.5,4.5,1.5,2,5,2,4,5,5,5,4,4,2,3,-2.15814147512673,-1.59336906101998,-1.05951714922955,0.66889563500483,2.85358574516098
15,20,2,5,4,4,4,3,4,4,2,2,4,5,4,4,4,4,4,4,2,4,-1.39614455737117,-0.42810530212471,0.0325041456651007,0.28404506356529,1.42820245204183
16,7,1,4,3,3.5,4,4,3,3.5,1.5,3,3,4,4,4,4,3,3,4,2,5,-0.245895627339272,-0.79456594821557,0.275820636403166,0.880869944431598,0.879247459906966
17,75,5,20,3,2,2,3,4.5,4,1,1,4,2,4,5,5,2,3,5,1,5,-0.504397998009165,-3.99793353410934,-0.0668952516189077,1.02438782086778,1.92170263353998
18,5,1,6,3,3.5,4,3,3.5,4.5,3.5,3,2,3,4,5,2,3,1,2,4,3,1.59583465141559,1.37587204324913,-1.59590456207776,0.525737320725052,-0.32210061144302
19,14,4,4,2,2.5,5,4,4.5,5,1,1,5,2,4,4,4,2,3,4,2,2,-0.913038518064789,-1.50054169975067,-3.07822871306763,0.847991656264115,2.76572763951824
20,4,1,2,2,2.5,3,3,4,4,2,3,4,4,4,4,4,4,5,5,2,5,-1.19780126332271,-1.05678732745799,1.18229263004094,0.933238464641753,1.88331920360156
21,6,1,6,3,3,3,4,3.5,3.5,3,5,4,3,2,4,3,4,3,3,2,4,0.930358470045091,0.71647147498288,1.50183959756823,-0.593186154856363,-1.07047668626658
22,10,2,6,3,4,3.5,5,4,4,3,3,4,3,4,5,4,5,3,3,3,4,-1.4854180181792,0.49170792308482,-0.347269466569784,-0.596037108021021,0.364611976952682
23,3,3,4,3,3,2.5,1,3.5,4,3,4,4,3,3,4,4,3,2,4,3,4,1.32025043576688,-0.121021782429449,1.00745375307464,0.12485060822559,-1.51949998404345
24,350,3,25,2,5,5,5,5,4.5,1,3,5,3,5,5,4,4,4,4,3,3,-3.53229548045113,0.319152698823436,-2.44186012629315,-1.23508343147066,2.45712895422413
25,100,2,30,4,4,4,5,5,5,2,4,4,4,4,4,4,4,3,5,3,4,-2.54402508139464,0.728155777126514,-0.178430766139989,-1.08659361197761,1.66976240762287
26,30,1,6,4,2.5,5,2,4.5,5,1,1,2,2,5,5,5,5,2,5,1,5,-1.62375456205627,-3.69999019110583,-1.02206945441283,0.483244143063545,2.32140015013768
27,5,2,1,1,1,2,2,1.5,2,3,2,2,3,1,1,5,5,3,3.71698113207547,2.45794392523365,3.64150943396226,4.80958332659405,-1.54230369376799,2.02701629276182,-0.16912173219848,-2.79698966023974
28,10,115,10,3,4,4,4,4,5,3,4,5,4,3,4,5,4,2,4,3,4,-1.65713949999564,1.08808470739184,0.631219881509392,-0.998679301581977,0.919378848775976
