"ID","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","Cluster"
1,4.5,3,3,5,3.5,2,2,4,2,3,4,4,4,3,2,2,3,1
2,3.5,3,4,3.5,3.5,2.5,3,4,3,4,4,4,4,3,3,2,3,2
3,4.5,4,5,4,3,2.5,3,5,4,3,4,3,3,2,3,3,3,1
4,5,5,3,5,4,1,3,5,4,4,5,5,5,4,4,2,4,2
5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
6,4,4,4,4,4,2,2,4,2,4,4,4,4,4,4,2,4,2
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
8,2.5,4,5,4,4.5,1,4,5,5,4,4,5,5,3,5,1,4,2
9,2.5,2.5,3,3.5,3,2.5,4,3,4,2,3,2,3,2,4,3,4,1
10,4.5,5,5,5,5,1,5,5,5,5,5,4,5,4,4,1,4,2
11,4,4.5,4,4,4.5,1,4,3,4,4,4,5,5,2,4,1,5,2
12,4.5,5,4,4,4.5,2,3,4,2,4,4,4,4,4,5,2,4,2
13,4.5,3,4,5,3.5,1,2,4,5,4,5,5,4,3,5,4,4,2
14,3,3.5,4,4.5,4.5,1.5,2,5,2,4,5,5,5,4,4,2,3,2
15,4,4,3,4,4,2,2,4,5,4,4,4,4,4,4,2,4,2
16,3.5,4,4,3,3.5,1.5,3,3,4,4,4,4,3,3,4,2,5,2
17,2,2,3,4.5,4,1,1,4,2,4,5,5,2,3,5,1,5,2
18,3.5,4,3,3.5,4.5,3.5,3,2,3,4,5,2,3,1,2,4,3,1
19,2.5,5,4,4.5,5,1,1,5,2,4,4,4,2,3,4,2,2,2
20,2.5,3,3,4,4,2,3,4,4,4,4,4,4,5,5,2,5,2
21,3,3,4,3.5,3.5,3,5,4,3,2,4,3,4,3,3,2,4,1
22,4,3.5,5,4,4,3,3,4,3,4,5,4,5,3,3,3,4,2
23,3,2.5,1,3.5,4,3,4,4,3,3,4,4,3,2,4,3,4,1
24,5,5,5,5,4.5,1,3,5,3,5,5,4,4,4,4,3,3,2
25,4,4,5,5,5,2,4,4,4,4,4,4,4,3,5,3,4,2
26,2.5,5,2,4.5,5,1,1,2,2,5,5,5,5,2,5,1,5,2
27,1,2,2,1.5,2,3,2,2,3,1,1,5,5,3,3.71698113207547,2.45794392523365,3.64150943396226,3
28,4,4,4,4,5,3,4,5,4,3,4,5,4,2,4,3,4,2
29,1.5,3,2,3.5,2.5,1,5,4,2,3,4,5,4,3,3.71698113207547,1,3.64150943396226,1
30,3.5,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,2
31,4,4,4,4,4,3.5,4,4,4,4,4,4,3,2,3,3,2,1
32,4,3,3,3,2.5,2.5,4,3,4,2,3,4,4,2,2,2,4,1
33,2,2.5,2,3,2.5,1,3,2,4,2,3,2,2,2,2,5,1,3
34,5,4.5,4,5,4,1,4,5,3,4,5,5,4,5,4,3,3,2
35,4,4,4,4,4,2,4,4,4,5,5,5,5,4,4,2,3,2
36,4,4,5,4.5,2,1,1,4,2,4,3,1,1,4,3,3,4,1
37,4,4,2,5,3.5,3.5,3,5,5,3.46728971962617,5,5,5,2,5,3,5,2
38,3,2,3,3,3.5,1,4,4,2,3,3,4,3,2,3,2,3,1
39,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,2,4,2
40,4,3,5,4.5,3.5,2.5,4,5,5,3,5,5,5,3,5,2,2,2
41,3,3,3,3,3.5,1,3,4,4,4,5,4,4,4,3,3,4,2
42,3.5,4,4,5,3.5,1.5,4,5,2,4,5,5,4,2,5,2,5,2
43,3,4.5,3,2.5,3,2,2,3,3,2,4,4,4,4,3,4,3,1
44,3,4,4,4,3.5,2,2,4,3,4,4,5,4,4,5,2,5,2
45,4,4,4,4,4,1,2,5,5,5,5,5,5,4,5,1,4,2
46,3,4,4,2.5,4,2.5,4,4,4,4,4,2,3,2,4,2,4,1
47,4,3.5,4,4,5,1,3,5,3,4,5,5,4,2.95327102803738,5,3,4,2
48,4,3.5,4,3,3,2,2,3,4,3,4,2,3,1,3,3,4,1
49,3.5,3,4,4.5,4.5,1,2,4,4,5,5,4,4,4,3,3,4,2
50,2.5,4,4,4.5,5,1,4,5,3,4,4,5,2,3,4,2,4,2
51,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
52,4,2,4,5,3.5,2,1,5,5,4,5,5,2,1,3,1,5,2
53,4,4,2,3,3,1,4,4,4,4,4,2,2,1,3,1,4,1
54,3.5,4,5,4,4,1,3,4,3,4,5,4,4,3,5,4,4,2
55,4.5,3,4,3.5,4,1,4,5,5,4,5,5,4,4,5,1,5,2
56,4,3.5,4,3.5,3.5,3,2,4,4,3,4,4,3,2,4,2,4,2
57,4,4,4,4,4.5,4.5,4,4,5,5,5,3,2,5,5,4,3,2
58,2,4,2,3,2,3,4,2,2,2,2,1,1,2,4,3,3,3
59,3.5,3,3,3,4,4,4,4,5,2,2,4,4,4,2,3,2,1
60,4,4,2,4,3,2.5,2,2,2,2,4,4,3,2,3,2,3,1
61,4,2,4,3.5,4,2.5,3,3,4,4,4,4,3,3,4,3,4,2
62,4,4,3,4.5,3.5,1.5,4,4,4,4,4,4,4,3,4,2,4,2
63,4.5,5,5,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
65,3.5,4,2,4,4,2,3,4,4,2,4,4,4,3,4,2,4,2
66,3,2,2,4,3.5,1.5,4,4,4,4,4,5,4,3,5,3,3,1
67,4,5,5,5,5,5,5,4,4,5,5,3.78504672897196,3.39252336448598,5,3,4,2,2
68,1,3,3,2,3,1.5,3,2,2,3,4,3,4,1,2,2,2,3
69,4.5,5,5,5,4.5,2.5,4,5,4,4,5,5,3,4,5,2,5,2
70,2.5,4,2,3,4,2,4,3,3,3,4,4,3,3,4,3,2,1
71,4,4,4,4,4.5,2,2,4,4,5,5,4,3,2,4,4,3,2
72,4.5,3.5,3,4,4,3.5,4,2,4,3,2,4,2,2,4,2,4,1
73,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
74,2.5,1.5,2,2.5,2,1,2,2,4,1,2,1,2,2,4,2,5,3
75,4,3.5,4,4.5,4,2,3,2,2,4,5,4,3,5,5,1,3,2
76,4.5,5,4,4,4.5,1,3,5,3,5,5,5,5,3,5,1,4,2
77,3,4,3,3,3,3,4,2,4,3,2,2,4,2,3,2,4,1
78,4,3,4,5,4.5,4,4,3,3,4,4,5,4,4,4,2,4,2
79,2,3.5,3,2.5,2,3,4,2,2,3,4,2,2,3,4,3,3,3
80,3,4,1,1.5,2.5,4,2,2,2,1,1,1,1,1,2,4,2,3
81,3,3.5,4,4,4.5,2.5,4,4,4,4,4,4,3,3,5,1,5,2
82,2.5,2,4,3.5,4,5,5,3,4,4,3,4,1,1,1,1,4,1
83,3.5,4,3,4,4,2.5,3,4,4,4,4,4,3,3,3,1,4,2
84,3.5,3,3,4,3.5,2,2,4,4,4,5,4,4,3,4,1,4,2
