"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Style_Technocracy","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type","Cluster"
1,12,1,8,2,4,5,3,3,5,5,3,4,2,2,3,2,4,2,3,4,4,4,3,2,2,3,"Progressive Design-Build",4
2,12,1,10,2,3,4,4,2,3,4,3,4,2,3,4,3,4,3,4,4,4,4,3,3,2,3,"Progressive Design-Build",4
3,8,1,5,3,5,4,5,3,4,4,3,3,2,3,5,3,5,4,3,4,3,3,2,3,3,3,"Progressive Design-Build",1
4,5,2,5,3,5,5,5,5,5,5,4,4,1,1,3,3,5,4,4,5,5,5,4,4,2,4,"Construction Manager @ Risk",3
5,2,4,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Construction Manager @ Risk",5
6,7,3,2,3,4,4,4,4,4,4,4,4,2,2,4,2,4,2,4,4,4,4,4,4,2,4,"Construction Manager @ Risk",4
7,4,5,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Design-Build",5
8,200,1,30,2,2,3,4,4,4,4,4,5,1,1,5,4,5,5,4,4,5,5,3,5,1,4,"Construction Manager @ Risk",6
9,50,2,8,3,3,2,3,2,4,3,3,3,2,3,3,4,3,4,2,3,2,3,2,4,3,4,"Construction Manager @ Risk",1
10,250,1,35,5,5,4,5,5,5,5,5,5,1,1,5,5,5,5,5,5,4,5,4,4,1,4,"Integrated Project Delivery (IPD)",6
11,30,3,15,3,4,4,4,5,4,4,5,4,1,1,4,4,3,4,4,4,5,5,2,4,1,5,"Integrated Project Delivery (IPD)",7
12,25,2,15,1,4,5,5,5,4,4,4,5,2,2,4,3,4,2,4,4,4,4,4,5,2,4,"Integrated Project Delivery (IPD)",4
13,8,2,5,4,4,5,3,3,5,5,3,4,1,1,4,2,4,5,4,5,5,4,3,5,4,4,"Integrated Project Delivery (IPD)",3
14,5,1,10,3,2,4,4,3,4,5,4,5,1,2,4,2,5,2,4,5,5,5,4,4,2,3,"Integrated Project Delivery (IPD)",4
15,20,2,5,4,4,4,4,4,4,4,4,4,2,2,3,2,4,5,4,4,4,4,4,4,2,4,"Design-Build",4
16,7,1,4,3,4,3,4,4,3,3,3,4,1,2,4,3,3,4,4,4,4,3,3,4,2,5,"Integrated Project Delivery (IPD)",7
17,75,5,20,3,2,2,2,2,4,5,4,4,1,1,3,1,4,2,4,5,5,2,3,5,1,5,"Construction Manager @ Risk",3
18,5,1,6,3,3,4,4,4,3,4,4,5,4,3,3,3,2,3,4,5,2,3,1,2,4,3,"Construction Manager @ Risk",2
19,14,4,4,2,1,4,5,5,4,5,5,5,1,1,4,1,5,2,4,4,4,2,3,4,2,2,"Integrated Project Delivery (IPD)",3
20,4,1,2,2,2,3,3,3,4,4,4,4,2,2,3,3,4,4,4,4,4,4,5,5,2,5,"Construction Manager @ Risk",4
21,6,1,6,3,4,2,3,3,4,3,3,4,3,3,4,5,4,3,2,4,3,4,3,3,2,4,"Construction Manager @ Risk",5
22,10,2,6,3,4,4,4,3,4,4,4,4,4,2,5,3,4,3,4,5,4,5,3,3,3,4,"Design-Bid-Build",4
23,3,3,4,3,4,2,3,2,3,4,3,5,3,3,1,4,4,3,3,4,4,3,2,4,3,4,"Design-Build",1
24,350,3,25,2,5,5,5,5,5,5,5,4,1,1,5,3,5,3,5,5,4,4,4,4,3,3,"Integrated Project Delivery (IPD)",6
25,100,2,30,4,4,4,4,4,5,5,5,5,2,2,5,4,4,4,4,4,4,4,3,5,3,4,"Construction Manager @ Risk",6
26,30,1,6,4,3,2,5,5,4,5,5,5,1,1,2,1,2,2,5,5,5,5,2,5,1,5,"Progressive Design-Build",3
27,5,2,1,1,1,1,2,2,2,1,2,2,3,3,2,2,2,3,1,1,5,5,3,4,2,4,"Design-Bid-Build",2
28,10,115,10,3,4,4,4,4,4,4,5,5,3,3,4,4,5,4,3,4,5,4,2,4,3,4,"Construction Manager @ Risk",1
29,15,1,4,2,1,2,3,3,4,3,3,2,1,1,2,5,4,2,3,4,5,4,3,4,1,4,"Integrated Project Delivery (IPD)",7
30,41,1,4,2,3,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,1,4,"Design-Build",7
31,50,4,10,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,2,3,3,2,"Design-Build",1
32,100,10,12,3,4,4,4,2,4,2,2,3,3,2,3,4,3,4,2,3,4,4,2,2,2,4,"Progressive Design-Build",1
33,15,2,8,4,2,2,3,2,3,3,2,3,1,1,2,3,2,4,2,3,2,2,2,2,5,1,"Design-Build",2
34,10,3,3,2,5,5,4,5,5,5,4,4,1,1,4,4,5,3,4,5,5,4,5,4,3,3,"Progressive Design-Build",3
35,10,1,3,2,4,4,4,4,4,4,4,4,2,2,4,4,4,4,5,5,5,5,4,4,2,3,"Construction Manager @ Risk",4
36,3,1,1,2,3,5,4,4,5,4,2,2,1,1,5,1,4,2,4,3,1,1,4,3,3,4,"Design-Bid-Build",7
37,3,2,4,3,5,3,5,3,5,5,2,5,2,5,2,3,5,5,4,5,5,5,2,5,3,5,"Design-Build",3
38,10,1,7,9,4,2,2,2,2,4,3,4,1,1,3,4,4,2,3,3,4,3,2,3,2,3,"Design-Bid-Build",1
39,10,1,5,3,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,3,4,2,4,"Construction Manager @ Risk",4
40,30,1,12,3,3,5,3,3,5,4,3,4,2,3,5,4,5,5,3,5,5,5,3,5,2,2,"Construction Manager @ Risk",3
41,15,3,5,3,4,2,3,3,2,4,4,3,1,1,3,3,4,4,4,5,4,4,4,3,3,4,"Design-Bid-Build",7
42,40,1,12,4,4,3,4,4,5,5,3,4,1,2,4,4,5,2,4,5,5,4,2,5,2,5,"Construction Manager @ Risk",3
43,20,5,10,2,3,3,4,5,2,3,2,4,2,2,3,2,3,3,2,4,4,4,4,3,4,3,"Construction Manager @ Risk",4
44,4,1,8,3,4,2,4,4,4,4,3,4,2,2,4,2,4,3,4,4,5,4,4,5,2,5,"Construction Manager @ Risk",4
45,20,1,10,6,4,4,4,4,4,4,4,4,1,1,4,2,5,5,5,5,5,5,4,5,1,4,"Construction Manager @ Risk",7
46,15,2,4,4,4,2,4,4,2,3,3,5,3,2,4,4,4,4,4,4,2,3,2,4,2,4,"Design-Bid-Build",7
47,75,1,20,3,4,4,5,2,3,5,5,5,1,1,4,3,5,3,4,5,5,4,3,5,3,4,"Construction Manager @ Risk",3
48,20,1,6,3,4,4,3,4,2,4,2,4,1,3,4,2,3,4,3,4,2,3,1,3,3,4,"Design-Bid-Build",1
49,8,2,2,4,3,4,3,3,4,5,4,5,1,1,4,2,4,4,5,5,4,4,4,3,3,4,"Construction Manager @ Risk",4
50,12,1,5,3,2,3,4,4,4,5,5,5,1,1,4,4,5,3,4,4,5,2,3,4,2,4,"Construction Manager @ Risk",7
