"PC","Direction","Variable","Loading"
"PC1","Positive","Style_Coercion",0.0825933176401863
"PC1","Positive","Environment_Hostile",0.0614846100291883
"PC1","Positive","Culture_Command",-0.024116902991448
"PC1","Positive","Culture_Rationale",-0.160261192538569
"PC1","Positive","Environment_Stable",-0.167328437661364
"PC1","Negative","Style_Participation",-0.325537588015975
"PC1","Negative","Culture_Generative",-0.31962797055943
"PC1","Negative","Culture_Transactive",-0.319353329060451
"PC1","Negative","Culture_Symbolic",-0.315575286917172
"PC1","Negative","Style_Organicity",-0.311429928094499
"PC2","Positive","Style_Coercion",0.550856571706154
"PC2","Positive","Environment_Hostile",0.455280652634404
"PC2","Positive","Culture_Command",0.442563470708098
"PC2","Positive","Culture_Rationale",0.243950958503295
"PC2","Positive","Distribution_Centralization",0.211292337321181
"PC2","Negative","Environment_Stable",-0.216451795893769
"PC2","Negative","Environment_Growth",-0.148684204532317
"PC2","Negative","Flexibility_openness",-0.131984835202617
"PC2","Negative","Culture_Transactive",-0.0971106252803482
"PC2","Negative","Flexibility_Recursiveness",-0.0757008832721584
"PC3","Positive","Culture_Command",0.433332006120484
"PC3","Positive","Culture_Rationale",0.402083488729277
"PC3","Positive","Environment_Stable",0.39733538963473
"PC3","Positive","Style_Coercion",0.211696747320789
"PC3","Positive","Flexibility_Recursiveness",0.207256468990134
"PC3","Negative","Environment_Hostile",-0.377472743741333
"PC3","Negative","Distribution_Formalization",-0.35376446433753
"PC3","Negative","Distribution_Centralization",-0.226619086189085
"PC3","Negative","Culture_Generative",-0.165086556556438
"PC3","Negative","Style_Technocracy",-0.0905105343877146
