"Owner_Type","PDM_Selected","PDM_Experience_DBB","PDM_Experience_DB","PDM_Experience_PDB","PDM_Experience_CMAR","PDM_Experience_IPD","ORG_Employees","ORG_Locations","ORG_Departments","ORG_Layers","DIST_Athority_Dispersion","DIST_Athority_Delegation","DIST_Process_InformalCommunication","DIST_Process_InformalProcedure","STY_DataDriven","STY_Participation_Inclusion","STY_Participation_Relational","STY_Adaptive_Informal","STY_Adaptive_Changeable","STY_Authoritative_Threats","STY_Authoritative_Compliance","CUL_Command","CUL_Symbolic","CUL_Formal","CUL_Experimental","CUL_Learning","FLEX_OpenToNewIdeas","FLEX_OpenToChanges","RISK_Tolerance","ENV_SustainedGrowth","ENV_HighriskIndustry","ENV_IndustryStability"
"Public/Government Sector/Quasi-public","Progressive Design-Build",4,4,4,4,2,12,1,8,2,4,5,3,3,3,5,5,3,4,2,2,2,4,2,3,4,4,4,3,2,2,3
"Public/Government Sector/Quasi-public","Progressive Design-Build",4,3,4,1,3,12,1,10,2,3,4,4,2,4,3,4,3,4,2,3,3,4,3,4,4,4,4,3,3,2,3
"Public/Government Sector/Quasi-public","Progressive Design-Build",4,4,3,4,2,8,1,5,3,5,4,5,3,5,4,4,3,3,2,3,3,5,4,3,4,3,3,2,3,3,3
"Public/Government Sector/Quasi-public","Construction Manager @ Risk",2,3,2,4,2,5,2,5,3,5,5,5,5,3,5,5,4,4,1,1,3,5,4,4,5,5,5,4,4,2,4
"Public/Government Sector/Quasi-public","Construction Manager @ Risk",1,1,3,3,3,2,4,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Public/Government Sector/Quasi-public","Construction Manager @ Risk",4,3,2,4,2,7,3,2,3,4,4,4,4,4,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,2,4
"Private Sector (for profit and nonprofit)","Design-Build",4,3,2,3,1,4,5,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Private Sector (for profit and nonprofit)","Construction Manager @ Risk",4,3,2,4,2,200,1,30,2,2,3,4,4,5,4,4,4,5,1,1,4,5,5,4,4,5,5,3,5,1,4
"Private Sector (for profit and nonprofit)","Construction Manager @ Risk",4,4,3,4,4,50,2,8,3,3,2,3,2,3,4,3,3,3,2,3,4,3,4,2,3,2,3,2,4,3,4
"Private Sector (for profit and nonprofit)","Integrated Project Delivery (IPD)",4,4,4,4,4,250,1,35,5,5,4,5,5,5,5,5,5,5,1,1,5,5,5,5,5,4,5,4,4,1,4
"Private Sector (for profit and nonprofit)","Integrated Project Delivery (IPD)",4,4,2,4,4,30,3,15,3,4,4,4,5,4,4,4,5,4,1,1,4,3,4,4,4,5,5,2,4,1,5
"Private Sector (for profit and nonprofit)","Integrated Project Delivery (IPD)",4,2,3,3,3,25,2,15,1,4,5,5,5,4,4,4,4,5,2,2,3,4,2,4,4,4,4,4,5,2,4
"Private Sector (for profit and nonprofit)","Integrated Project Delivery (IPD)",3,4,2,3,4,8,2,5,4,4,5,3,3,4,5,5,3,4,1,1,2,4,5,4,5,5,4,3,5,4,4
"Public/Government Sector/Quasi-public","Integrated Project Delivery (IPD)",4,4,2,4,4,5,1,10,3,2,4,4,3,4,4,5,4,5,1,2,2,5,2,4,5,5,5,4,4,2,3
"Public/Government Sector/Quasi-public","Design-Build",4,4,4,4,2,20,2,5,4,4,4,4,4,3,4,4,4,4,2,2,2,4,5,4,4,4,4,4,4,2,4
"Private Sector (for profit and nonprofit)","Integrated Project Delivery (IPD)",3,3,1,1,2,7,1,4,3,4,3,4,4,4,3,3,3,4,1,2,3,3,4,4,4,4,3,3,4,2,5
"Public/Government Sector/Quasi-public","Construction Manager @ Risk",4,3,2,4,4,75,5,20,3,2,2,2,2,3,4,5,4,4,1,1,1,4,2,4,5,5,2,3,5,1,5
"Public/Government Sector/Quasi-public","Construction Manager @ Risk",4,2,1,4,3,5,1,6,3,3,4,4,4,3,3,4,4,5,4,3,3,2,3,4,5,2,3,1,2,4,3
"Private Sector (for profit and nonprofit)","Integrated Project Delivery (IPD)",4,3,1,4,4,14,4,4,2,1,4,5,5,4,4,5,5,5,1,1,1,5,2,4,4,4,2,3,4,2,2
"Private Sector (for profit and nonprofit)","Construction Manager @ Risk",4,4,2,4,2,4,1,2,2,2,3,3,3,3,4,4,4,4,2,2,3,4,4,4,4,4,4,5,5,2,5
"Private Sector (for profit and nonprofit)","Construction Manager @ Risk",4,4,4,4,4,6,1,6,3,4,2,3,3,4,4,3,3,4,3,3,5,4,3,2,4,3,4,3,3,2,4
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,4,3,4,2,10,2,6,3,4,4,4,3,5,4,4,4,4,4,2,3,4,3,4,5,4,5,3,3,3,4
"Private Sector (for profit and nonprofit)","Design-Build",4,4,3,2,1,3,3,4,3,4,2,3,2,1,3,4,3,5,3,3,4,4,3,3,4,4,3,2,4,3,4
"Private Sector (for profit and nonprofit)","Integrated Project Delivery (IPD)",4,4,2,4,4,350,3,25,2,5,5,5,5,5,5,5,5,4,1,1,3,5,3,5,5,4,4,4,4,3,3
"Private Sector (for profit and nonprofit)","Construction Manager @ Risk",4,3,1,4,2,100,2,30,4,4,4,4,4,5,5,5,5,5,2,2,4,4,4,4,4,4,4,3,5,3,4
"Public/Government Sector/Quasi-public","Progressive Design-Build",4,3,4,3,2,30,1,6,4,3,2,5,5,2,4,5,5,5,1,1,1,2,2,5,5,5,5,2,5,1,5
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,4,1,2,2,5,2,1,1,1,1,2,2,2,2,1,2,2,3,3,2,2,3,1,1,5,5,3,4,2,4
"Public/Government Sector/Quasi-public","Construction Manager @ Risk",4,4,2,4,4,10,115,10,3,4,4,4,4,4,4,4,5,5,3,3,4,5,4,3,4,5,4,2,4,3,4
"Private Sector (for profit and nonprofit)","Integrated Project Delivery (IPD)",4,3,2,3,2,15,1,4,2,1,2,3,3,2,4,3,3,2,1,1,5,4,2,3,4,5,4,3,4,1,4
"Public/Government Sector/Quasi-public","Design-Build",4,4,2,4,2,41,1,4,2,3,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,1,4
