"Renamed_Variable","Question","Original_Variable"
"ORG_Employees","How many employees from the owner organization were involved to complete the project?","Org_Structure_Employees"
"ORG_Locations","How many different geographic locations did you interact with in the owner organization on the project?","Org_Structure_Locations"
"ORG_Departments","How many departments or units did you have to work with in the owner organization on the project?","Org_Structure_Depts"
"ORG_Layers","How many layers of management did you need to work with for project decision-making?","Org_Structure_Layers"
"DIST_Athority_Dispersion","Had final decisions distributed across the owner organization","Distribution_Centralization1"
"DIST_Athority_Delegation","Had employees (not managers) empowered to make project decisions based on their expertise","Distribution_Centralization2"
"DIST_Process_InformalCommunication","Had informal decision-making communication routines on building projects","Distribution_Formalization1"
"DIST_Process_InformalProcedure","Had informal decision-making procedures on the project","Distribution_Formalization2"
"STY_DataDriven","Used quantitative data-driven analysis","Style_Technocracy"
"STY_Participation_Inclusion","Had strong commitment to employee participation in decision-making","Style_Participation1"
"STY_Participation_Relational","Built strong human relationships at work","Style_Participation2"
"STY_Adaptive_Informal","Had informal managerial activities, roles, and relationships","Style_Organicity1"
"STY_Adaptive_Changeable","Adapted to changing circumstances","Style_Organicity2"
"STY_Authoritative_Threats","Used threats as part of managerial practice","Style_Coercion1"
"STY_Authoritative_Compliance","Issued orders that warned personnel of consequences of noncompliance","Style_Coercion2"
"CUL_Command","Had an organizational leader (or leaders) determining all decisions","Culture_Command"
"CUL_Symbolic","Had shared organizational  mission/vision to guide all decision-making","Culture_Symbolic"
"CUL_Formal","Relied on formal structure and planning systems to make all decisions","Culture_Rationale"
"CUL_Experimental","Encouraged employees to experiment and share new ideas to leadership for decision-making","Culture_Generative"
"CUL_Learning","Encouraged interaction and learning with key stakeholders for collaborative decision-making","Culture_Transactive"
"FLEX_OpenToNewIdeas","The owner organization showed that they were open to new ideas and information sources","Flexibility_openness"
"FLEX_OpenToChanges","The owner organization showed that they were comfortable with changing their minds about project decisions","Flexibility_Recursiveness"
"RISK_Tolerance","Was comfortable with taking on investments that are high risk, high reward on the project","Risk"
"ENV_SustainedGrowth","Had sustained growth","Environment_Growth"
"ENV_HighriskIndustry","Was hostile (risky and stressful)","Environment_Hostile"
"ENV_IndustryStability","Was economically, socially, and politically stable","Environment_Stable"
