"Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Technocracy","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type"
200,5,20,4,2,2,2,4,3,2,3,3,4,3,4,4,3,3,2,2,4,4,1,5,3,3,"Construction Manager @ Risk"
12,1,8,2,4,5,3,3,3,5,5,3,4,2,2,2,4,2,3,4,4,4,3,2,2,3,"Progressive Design-Build"
12,1,10,2,3,4,4,2,4,3,4,3,4,2,3,3,4,3,4,4,4,4,3,3,2,3,"Progressive Design-Build"
8,1,5,3,5,4,5,3,5,4,4,3,3,2,3,3,5,4,3,4,3,3,2,3,3,3,"Progressive Design-Build"
5,2,5,3,5,5,5,5,3,5,5,4,4,1,1,3,5,4,4,5,5,5,4,4,2,4,"Construction Manager @ Risk"
2,4,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Construction Manager @ Risk"
7,3,2,3,4,4,4,4,4,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,2,4,"Construction Manager @ Risk"
4,5,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Design-Build"
200,1,30,2,2,3,4,4,5,4,4,4,5,1,1,4,5,5,4,4,5,5,3,5,1,4,"Construction Manager @ Risk"
50,2,8,3,3,2,3,2,3,4,3,3,3,2,3,4,3,4,2,3,2,3,2,4,3,4,"Construction Manager @ Risk"
250,1,35,5,5,4,5,5,5,5,5,5,5,1,1,5,5,5,5,5,4,5,4,4,1,4,"Integrated Project Delivery (IPD)"
30,3,15,3,4,4,4,5,4,4,4,5,4,1,1,4,3,4,4,4,5,5,2,4,1,5,"Integrated Project Delivery (IPD)"
25,2,15,1,4,5,5,5,4,4,4,4,5,2,2,3,4,2,4,4,4,4,4,5,2,4,"Integrated Project Delivery (IPD)"
