Owner_Type,PDM_Experience_DBB,PDM_Experience_DB,PDM_Experience_PDB,PDM_Experience_CMAR,PDM_Experience_IPD,Job_Level,Project_Type,Project_Size,PDM_Selected,Project_Success,ORG_Employees,ORG_Locations,ORG_Departments,ORG_Layers,Org_Structure_DeliverySpeed,Org_Structure_Predictability,Org_Structure_Scope,Org_Structure_Flexibility,Org_Structure_ownerinvolved,Org_Structure_techcomplexity,Org_Structure_Collab,Org_Structure_Risks,Org_Structure_teamcomplexity,DIST_Athority_Dispersion,DIST_Athority_Delegation,DIST_Process_InformalCommunication,DIST_Process_InformalProcedure,Distribution_DeliverySpeed,Distribution_Predictability,Distribution_Scope,Distribution_Flexibility,Distribution_ownerinvolved,Distribution_techcomplexity,Distribution_Collab,Distribution_Risks,Distribution_teamcomplexity,STY_DataDriven,STY_Participation_Inclusion,STY_Participation_Relational,STY_Adaptive_Informal,STY_Adaptive_Changeable,STY_Authoritative_Threats,STY_Authoritative_Compliance,Style_DeliverySpeed,Style_Predictability,Style_Scope,Style_Flexibility,Style_ownerinvolved,Style_techcomplexity,Style_Collab,Style_Risks,Style_teamcomplexity,CUL_Command,CUL_Symbolic,CUL_Formal,CUL_Experimental,CUL_Learning,Culture_DeliverySpeed,Culture_Predictability,Culture_Scope,Culture_Flexibility,Culture_ownerinvolved,Culture_techcomplexity,Culture_Collab,Culture_Risks,Culture_teamcomplexity,FLEX_OpenToNewIdeas,FLEX_OpenToChanges,Flexibility_DeliverySpeed,Flexibility_Predictability,Flexibility_Scope,Flexibility_Flexibility,Flexibility_ownerinvolved,Flexibility_techcomplexity,Flexibility_Collab,Flexibility_Risks,Flexibility_teamcomplexity,RISK_Tolerance,Risk_DeliverySpeed,Risk_Predictability,Risk_Scope,Risk_Flexibility,Risk_ownerinvolved,Risk_techcomplexity,Risk_Collab,Risk_Risks,Risk_teamcomplexity,ENV_SustainedGrowth,ENV_HighriskIndustry,ENV_IndustryStability,Environment_DeliverySpeed,Environment_Predictability,Environment_Scope,Environment_Flexibility,Environment_ownerinvolved,Environment_techcomplexity,Environment_Collab,Environment_Risks,Environment_teamcomplexity
Public/Government Sector/Quasi-public,4,4,4,4,2,project management staff,new construction,25k - 75k sq ft (7.6k - 23k sqm),Progressive Design-Build - best value,very successful,12,1,8,2,3,3,3,3,5,5,5,4,4,4,5,3,3,4,4,4,4,4,4,5,4,4,3,5,5,3,4,2,2,4,4,4,4,4,4,5,4,4,2,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3
Public/Government Sector/Quasi-public,4,3,4,1,3,project management staff,"new construction,renovation,institutional (education, healthcare, justice, etc.),infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Progressive Design-Build - best value,more successful,12,1,10,2,4,4,5,4,5,4,5,4,4,3,4,4,2,4,5,4,4,5,4,5,4,4,4,3,4,3,4,2,3,4,4,4,4,5,4,5,4,4,3,4,3,4,4,3,4,3,4,5,3,4,4,4,4,4,4,4,4,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
Public/Government Sector/Quasi-public,4,4,3,4,2,project management staff,"new construction,institutional (education, healthcare, justice, etc.)",greater than 125k sq ft (38k sqm),Progressive Design-Build - best value,more successful,8,1,5,3,3,3,5,3,4,3,5,3,3,5,4,5,3,3,3,4,3,4,3,5,3,3,5,4,4,3,3,2,3,3,3,3,3,5,3,5,5,4,3,5,4,3,4,3,3,4,3,5,3,5,4,4,3,3,4,3,3,4,4,3,4,3,3,2,2,3,3,3,3,3,5,3,3,3,3,3,5,3,5,4,3,5,5,3,3
Public/Government Sector/Quasi-public,2,3,2,4,2,upper management,"new construction,renovation,institutional (education, healthcare, justice, etc.)",greater than 125k sq ft (38k sqm),Construction Manager @ Risk - best value,very successful,5,2,5,3,5,5,5,5,5,5,5,NA,NA,5,5,5,5,4,4,4,4,4,4,5,NA,NA,3,5,5,4,4,1,1,5,5,5,5,5,4,5,NA,NA,3,5,4,4,5,5,5,5,5,5,4,5,NA,NA,5,5,5,5,5,5,5,4,5,NA,NA,4,3,3,3,4,5,3,5,NA,NA,4,2,4,3,3,3,3,3,3,4,NA,NA
Public/Government Sector/Quasi-public,1,1,3,3,3,project management staff,residential,25k - 75k sq ft (7.6k - 23k sqm),Construction Manager @ Risk - low bid,moderately successful,2,4,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Public/Government Sector/Quasi-public,4,3,2,4,2,project management staff,new construction,75k - 125k sq ft (23k - 38k sqm),Construction Manager @ Risk - best value,very successful,7,3,2,3,4,4,4,3,4,4,4,3,3,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4
Private Sector (for profit and nonprofit),4,3,2,3,1,project management staff,"institutional (education, healthcare, justice, etc.)",25k - 75k sq ft (7.6k - 23k sqm),Design-Build - low bid,moderately successful,4,5,6,7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Private Sector (for profit and nonprofit),4,3,2,4,2,upper management,"new construction,renovation,institutional (education, healthcare, justice, etc.)",greater than 125k sq ft (38k sqm),Construction Manager @ Risk - best value,very successful,200,1,30,2,3,3,4,3,5,5,5,4,5,2,3,4,4,3,3,3,3,3,3,3,3,3,5,4,4,4,5,1,1,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5
Private Sector (for profit and nonprofit),4,4,3,4,4,project management staff,"infrastructure (including transportation, utilities etc.),manufacturing (pharmaceutical, high tech, etc.)",25k - 75k sq ft (7.6k - 23k sqm),Construction Manager @ Risk - best value,more successful,50,2,8,3,2,3,3,2,3,4,4,4,3,3,2,3,2,2,3,4,3,4,4,4,3,3,3,4,3,3,3,2,3,2,3,3,3,4,4,4,3,3,4,3,4,2,3,2,3,3,3,4,4,4,3,3,2,3,2,3,3,3,3,3,3,2,3,2,2,3,3,2,3,3,3,2,3,4,3,4,2,3,3,3,3,3,3,3,3
Private Sector (for profit and nonprofit),4,4,4,4,4,upper management,"new construction,renovation,institutional (education, healthcare, justice, etc.)",greater than 125k sq ft (38k sqm),Integrated Project Delivery (IPD),very successful,250,1,35,5,4,2,3,4,5,2,5,4,3,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,1,4,3,3,3,3,3,3,3,3,3
