,Cluster_1,Cluster_2
ORG_Size_Employees,101.43478260869566,31.92063492063492
ORG_Complexity_Locations,6.217391304347826,3.5238095238095237
ORG_Complexity_Departments,5.456521739130435,7.777777777777778
ORG_Hierarchy_Layers,3.5434782608695654,2.8412698412698414
DEC_Authority_Dispersion,3.108695652173913,3.8412698412698414
DEC_Authority_Delegation,2.717391304347826,3.7936507936507935
DEC_Process_InformalCommunication,3.130434782608696,3.888888888888889
DEC_Process_InformalProcedures,2.9782608695652173,3.8253968253968256
STY_Analytical_DataDriven,2.891304347826087,3.888888888888889
STY_Participative_Inclusion,3.0434782608695654,4.111111111111111
STY_Participative_Relational,3.0434782608695654,4.428571428571429
STY_Organic_InformalStructure,3.1956521739130435,4.0
STY_Organic_Adaptability,3.0652173913043477,4.238095238095238
STY_Directive_Threats,2.717391304347826,1.8571428571428572
STY_Directive_Compliance,2.760869565217391,2.0952380952380953
CUL_Authority_Hierarchical,3.5,3.2698412698412698
CUL_Integration_Vision,2.9782608695652173,4.238095238095238
CUL_Integration_Systematic,3.260869565217391,3.7142857142857144
CUL_Innovation_Experimental,2.6739130434782608,4.015873015873016
CUL_Collaboration_Stakeholder,3.1956521739130435,4.492063492063492
FLEX_Cognitive_Receptivity,2.891304347826087,4.396825396825397
FLEX_Behavioral_Adaptability,2.6956521739130435,3.873015873015873
RISK_Appetite_Investment,2.369565217391304,3.3492063492063493
ENV_Context_Growth,3.108695652173913,4.158730158730159
ENV_Context_Volatility,2.717391304347826,2.3015873015873014
ENV_Context_Stability,3.282608695652174,3.9206349206349205
