ORG_Size_Employees,ORG_Complexity_Locations,ORG_Complexity_Departments,ORG_Hierarchy_Layers,DEC_Authority_Dispersion,DEC_Authority_Delegation,DEC_Process_InformalCommunication,DEC_Process_InformalProcedures,STY_Analytical_DataDriven,STY_Participative_Inclusion,STY_Participative_Relational,STY_Organic_InformalStructure,STY_Organic_Adaptability,STY_Directive_Threats,STY_Directive_Compliance,CUL_Authority_Hierarchical,CUL_Integration_Vision,CUL_Integration_Systematic,CUL_Innovation_Experimental,CUL_Collaboration_Stakeholder,FLEX_Cognitive_Receptivity,FLEX_Behavioral_Adaptability,RISK_Appetite_Investment,ENV_Context_Growth,ENV_Context_Volatility,ENV_Context_Stability,PDM_Selected,PDM_Experience_DBB,PDM_Experience_DB,PDM_Experience_PDB,PDM_Experience_CMAR,PDM_Experience_IPD,Cluster,Membership_Score
12,1,8,2,4,5,3,3,3,5,5,3,4,2,2,2,4,2,3,4,4,4,3,2,2,3,Progressive Design-Build,5,5,5,5,2,2,0.5078400769473543
12,1,10,2,3,4,4,2,4,3,4,3,4,2,3,3,4,3,4,4,4,4,3,3,2,3,Progressive Design-Build,5,3,5,1,3,2,0.5041059135769596
8,1,5,3,5,4,5,3,5,4,4,3,3,2,3,3,5,4,3,4,3,3,2,3,3,3,Progressive Design-Build,5,5,3,5,2,2,0.5015230949175685
5,2,5,3,5,5,5,5,3,5,5,4,4,1,1,3,5,4,4,5,5,5,4,4,2,4,Construction Manager @ Risk,2,3,2,5,2,2,0.5314123014719946
2,4,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Construction Manager @ Risk,1,1,3,3,3,1,0.5314525380595152
7,3,2,3,4,4,4,4,4,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,2,4,Construction Manager @ Risk,5,3,2,5,2,2,0.5326765407136395
4,5,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Design-Build,5,3,2,3,1,1,0.5314796469850795
200,1,30,2,2,3,4,4,5,4,4,4,5,1,1,4,5,5,4,4,5,5,3,5,1,4,Construction Manager @ Risk,5,3,2,5,2,2,0.5169337766195857
50,2,8,3,3,2,3,2,3,4,3,3,3,2,3,4,3,4,2,3,2,3,2,4,3,4,Construction Manager @ Risk,5,5,3,5,5,1,0.5348257940263497
250,1,35,5,5,4,5,5,5,5,5,5,5,1,1,5,5,5,5,5,4,5,4,4,1,4,Integrated Project Delivery (IPD),5,5,5,5,5,2,0.5164287336243387
30,3,15,3,4,4,4,5,4,4,4,5,4,1,1,4,3,4,4,4,5,5,2,4,1,5,Integrated Project Delivery (IPD),5,5,2,5,5,2,0.5242618523892502
25,2,15,1,4,5,5,5,4,4,4,4,5,2,2,3,4,2,4,4,4,4,4,5,2,4,Integrated Project Delivery (IPD),5,2,3,3,3,2,0.5264516260265718
8,2,5,4,4,5,3,3,4,5,5,3,4,1,1,2,4,5,4,5,5,4,3,5,4,4,Integrated Project Delivery (IPD),3,5,2,3,5,2,0.5226185122909459
5,1,10,3,2,4,4,3,4,4,5,4,5,1,2,2,5,2,4,5,5,5,4,4,2,3,Integrated Project Delivery (IPD),5,5,2,5,5,2,0.5240790252970821
20,2,5,4,4,4,4,4,3,4,4,4,4,2,2,2,4,5,4,4,4,4,4,4,2,4,Design-Build,5,5,5,5,2,2,0.533986759917732
7,1,4,3,4,3,4,4,4,3,3,3,4,1,2,3,3,4,4,4,4,3,3,4,2,5,Integrated Project Delivery (IPD),3,5,1,1,2,2,0.5115989053322013
75,5,20,3,2,2,2,2,3,4,5,4,4,1,1,1,4,2,4,5,5,2,3,5,1,5,Construction Manager @ Risk,5,3,2,5,5,2,0.5050996063975809
5,1,6,3,3,4,4,4,3,3,4,4,5,4,3,3,2,3,4,5,2,3,1,2,4,3,Construction Manager @ Risk,5,2,1,5,3,1,0.5132408624355721
14,4,4,2,1,4,5,5,4,4,5,5,5,1,1,1,5,2,4,4,4,2,3,4,2,2,Integrated Project Delivery (IPD),5,3,1,5,5,2,0.5102094201808925
4,1,2,2,2,3,3,3,3,4,4,4,4,2,2,3,4,4,4,4,4,4,5,5,2,5,Construction Manager @ Risk,5,5,2,5,2,2,0.5162823734714255
6,1,6,3,4,2,3,3,4,4,3,3,4,3,3,5,4,3,2,4,3,4,3,3,2,4,Construction Manager @ Risk,5,5,5,5,5,1,0.5202236048781859
10,2,6,3,4,4,4,3,5,4,4,4,4,4,2,3,4,3,4,5,4,5,3,3,3,4,Design-Bid-Build,5,5,3,5,2,2,0.5196502927442757
3,3,4,3,4,2,3,2,1,3,4,3,5,3,3,4,4,3,3,4,4,3,2,4,3,4,Design-Build,5,5,3,2,1,1,0.5179685812265225
350,3,25,2,5,5,5,5,5,5,5,5,4,1,1,3,5,3,5,5,4,4,4,4,3,3,Integrated Project Delivery (IPD),5,5,2,3,5,2,0.5224512915815226
100,2,30,4,4,4,4,4,5,5,5,5,5,2,2,4,4,4,4,4,4,4,3,5,3,4,Construction Manager @ Risk,5,3,1,5,2,2,0.5195741364386892
30,1,6,4,3,2,5,5,2,4,5,5,5,1,1,1,2,2,5,5,5,5,2,5,1,5,Progressive Design-Build,5,3,5,3,2,2,0.5113415742731909
5,2,1,1,1,1,2,2,2,2,1,2,2,3,3,2,2,3,1,1,5,5,3,4,2,4,Design-Bid-Build,5,5,1,2,2,1,0.5134131904768547
10,115,10,3,4,4,4,4,4,4,4,5,5,3,3,4,5,4,3,4,5,4,2,4,3,4,Construction Manager @ Risk,5,5,2,5,5,2,0.504415560725223
